Player,Tm,G,PER,WS/48,VORP
Vernon Macklin,DET,23,18.2,.161,0.1
Corey Maggette,CHA,32,14.1,.038,-0.4
Jamaal Magloire,TOR,34,2.7,-0.021,-0.5
Ian Mahinmi,DAL,61,13.5,.144,-0.1
Shawn Marion,DAL,63,15.0,.092,1.2
Cartier Martin,WAS,17,12.8,.090,0.1
Kenyon Martin,LAC,42,9.9,.048,0.0
Kevin Martin,HOU,40,16.5,.125,1.0
Roger Mason,WAS,52,12.1,.059,0.2
Wesley Matthews,POR,66,14.1,.104,1.3
Jason Maxiell,DET,65,11.7,.057,-0.5
Eric Maynor,OKC,9,9.1,.037,0.0
O.J. Mayo,MEM,66,14.7,.094,1.3
Luc Mbah a Moute,MIL,43,13.9,.112,0.2
JaVale McGee,TOT,61,19.9,.127,0.8
JaVale McGee,WAS,41,19.6,.120,0.6
JaVale McGee,DEN,20,20.5,.148,0.2
Tracy McGrady*,ATL,52,13.6,.094,0.5
Dominic McGuire,GSW,64,11.8,.062,0.3
Josh McRoberts,LAL,50,10.9,.095,0.1
Jodie Meeks,PHI,66,11.5,.120,0.5
C.J. Miles,UTA,56,12.4,.063,0.0
Darko Miličić,MIN,29,9.0,.003,-0.2
Andre Miller,DEN,66,14.8,.078,0.7
Brad Miller,MIN,15,10.7,.060,0.0
Mike Miller,MIA,39,11.4,.113,0.4
Patty Mills,SAS,16,21.5,.161,0.3
Paul Millsap,UTA,64,21.8,.179,3.1
Nazr Mohammed,OKC,63,11.0,.090,-0.1
Greg Monroe,DET,66,22.0,.161,2.6
Jamario Moon,CHA,8,3.4,-0.100,-0.2
E'Twaun Moore,BOS,38,8.8,.031,0.0
Mikki Moore,GSW,7,6.3,.022,-0.1
Darius Morris,LAL,19,5.2,-0.045,-0.2
Marcus Morris,HOU,17,3.8,-0.083,-0.2
Markieff Morris,PHO,63,12.1,.059,0.0
Anthony Morrow,NJN,62,13.1,.051,0.0
Timofey Mozgov,DEN,44,13.2,.074,-0.1
Byron Mullens,CHA,65,13.0,.007,-1.0
Troy Murphy,LAL,59,9.0,.088,0.2
Hamady N'Diaye,WAS,3,-13.1,-0.369,0.0
Eduardo Nájera,CHA,22,9.3,.035,-0.1
Steve Nash*,PHO,62,20.3,.144,2.7
Gary Neal,SAS,56,14.2,.101,0.6
Jameer Nelson,ORL,57,14.6,.099,0.8
Joakim Noah,CHI,64,19.6,.223,2.8
Andrés Nocioni,PHI,11,1.8,-0.139,-0.2
Steve Novak,NYK,54,15.9,.181,1.6
Dirk Nowitzki,DAL,62,21.7,.175,3.0
Jermaine O'Neal,BOS,25,9.4,.091,-0.1
Lamar Odom,DAL,50,9.2,.014,-0.3
Emeka Okafor,NOH,27,15.1,.103,0.3
Mehmet Okur,NJN,17,8.4,-0.004,-0.3
Daniel Orton,ORL,16,12.7,.129,0.0
Travis Outlaw,SAC,39,9.6,-0.008,-0.2
Larry Owens,NJN,7,5.8,.035,0.0
Zaza Pachulia,ATL,58,14.0,.147,0.5
Jannero Pargo,ATL,50,13.6,.095,0.2
Jeremy Pargo,MEM,44,4.4,-0.085,-0.6
Anthony Parker,CLE,51,10.9,.052,0.1
Tony Parker,SAS,60,22.0,.177,2.3
Chandler Parsons,HOU,63,13.3,.090,1.3
Patrick Patterson,HOU,64,11.5,.052,-0.3
Chris Paul,LAC,60,27.0,.278,6.1
Sasha Pavlović,BOS,45,6.7,.039,0.0
Nikola Peković,MIN,47,21.4,.170,1.0
Kendrick Perkins,OKC,65,8.7,.056,0.0
Johan Petro,NJN,59,10.3,.034,-0.6
Paul Pierce*,BOS,61,19.6,.161,3.2
Mickaël Piétrus,BOS,42,8.5,.063,0.0
Dexter Pittman,MIA,35,10.4,.101,-0.3
Quincy Pondexter,MEM,64,9.4,.082,0.0
A.J. Price,IND,44,11.5,.063,0.1
Ronnie Price,PHO,36,8.4,.008,-0.2
Tayshaun Prince,DET,63,12.8,.048,0.3
Joel Przybilla,POR,27,6.0,.034,-0.4
Vladimir Radmanović,ATL,49,11.7,.103,0.4
Anthony Randolph,MIN,34,17.6,.099,0.2
Zach Randolph,MEM,28,17.9,.135,0.4
Michael Redd,PHO,51,13.9,.052,-0.1
J.J. Redick,ORL,65,15.1,.142,1.3
Ryan Reid,OKC,5,17.6,.142,0.0
Jason Richardson,ORL,54,13.3,.084,1.1
Quentin Richardson,ORL,48,8.7,.070,0.1
Luke Ridnour,MIN,53,13.6,.090,0.7
Nate Robinson,GSW,51,18.0,.111,0.7
Rajon Rondo,BOS,53,17.5,.121,2.1
Derrick Rose,CHI,39,23.0,.211,2.9
Ricky Rubio,MIN,41,14.6,.070,1.1
Brandon Rush,GSW,65,15.2,.099,1.6
Walker Russell,DET,28,7.2,-0.049,-0.3
John Salmons,SAC,46,9.0,.014,-0.5
Samardo Samuels,CLE,54,11.1,.039,-0.7
Larry Sanders,MIL,52,13.3,.072,0.0
Brian Scalabrine,CHI,28,13.5,.108,0.1
Luis Scola,HOU,66,15.4,.080,0.0
Thabo Sefolosha,OKC,42,9.8,.095,0.6
Josh Selby,MEM,28,3.3,-0.105,-0.4
Kevin Séraphin,WAS,57,15.8,.094,0.1
Ramon Sessions,TOT,64,16.7,.104,0.7
Ramon Sessions,CLE,41,16.4,.085,0.4
Ramon Sessions,LAL,23,17.3,.131,0.3
Iman Shumpert,NYK,59,10.8,.068,0.2
Xavier Silas,PHI,2,0.1,-0.131,-0.1
Bobby Simmons,LAC,28,6.0,.029,-0.2
Chris Singleton,WAS,66,8.3,.052,-0.1
James Singleton,WAS,12,19.6,.186,0.2
Brian Skinner,MEM,1,-14.7,-0.248,0.0
Donald Sloan,TOT,33,8.9,-0.024,-0.6
Donald Sloan,ATL,5,11.6,.012,0.0
Donald Sloan,NOH,3,8.0,-0.104,0.0
Donald Sloan,CLE,25,8.9,-0.020,-0.5
Craig Smith,POR,47,13.6,.105,0.1
Greg Smith,HOU,8,12.3,.165,0.0
Ish Smith,TOT,26,14.1,.062,0.1
Ish Smith,GSW,6,16.7,.069,0.1
Ish Smith,ORL,20,13.1,.060,0.0
J.R. Smith,NYK,35,15.2,.122,1.0
Jason Smith,NOH,40,16.6,.110,0.4
Jerry Smith,NJN,5,7.8,-0.007,0.0
Josh Smith,ATL,66,21.1,.139,3.3
Nolan Smith,POR,44,7.8,-0.029,-0.5
Marreese Speights,MEM,60,14.1,.096,-0.4
Tiago Splitter,SAS,59,20.5,.197,1.1
Jerry Stackhouse,ATL,30,11.5,.060,0.0
Lance Stephenson,IND,42,7.0,-0.031,-0.2
DeShawn Stevenson,NJN,51,4.3,-0.014,-0.6
Greg Stiemsma,BOS,55,13.6,.170,0.7
Julyan Stone,DEN,22,13.0,.101,0.2
Amar'e Stoudemire,NYK,47,17.7,.128,0.7
Rodney Stuckey,DET,55,17.6,.131,1.1
DaJuan Summers,NOH,15,9.0,.049,-0.1
Jeff Teague,ATL,66,15.8,.131,1.8
Sebastian Telfair,PHO,60,13.2,.058,0.1
Jason Terry,DAL,63,15.7,.092,1.7
Hasheem Thabeet,TOT,20,12.4,.102,-0.1
Hasheem Thabeet,HOU,5,16.4,.228,0.0
Hasheem Thabeet,POR,15,11.6,.077,-0.1
Isaiah Thomas,SAC,65,17.6,.124,1.2
Kurt Thomas,POR,53,9.5,.067,0.0
Lance Thomas,NOH,42,10.1,.088,-0.4
Malcolm Thomas,SAS,3,7.1,-0.028,0.0
Tyrus Thomas,CHA,54,9.0,-0.029,-1.0
Trey Thompkins,LAC,24,12.0,.004,-0.1
Jason Thompson,SAC,64,16.4,.114,0.5
Klay Thompson,GSW,66,14.9,.050,0.2
Mychel Thompson,CLE,5,2.2,-0.079,-0.1
Tristan Thompson,CLE,60,13.3,.038,-1.0
Marcus Thornton,SAC,51,17.4,.103,1.4
Jamaal Tinsley,UTA,37,10.9,.006,-0.2
Anthony Tolliver,MIN,51,8.3,.049,-0.2
Ronny Turiaf,TOT,17,12.3,.137,0.1
Ronny Turiaf,WAS,4,10.8,.057,0.0
Ronny Turiaf,MIA,13,12.6,.158,0.1
Hedo Türkoğlu,ORL,53,11.7,.060,0.5
Evan Turner,PHI,65,12.6,.068,0.3
Jeremy Tyler,GSW,42,10.4,-0.014,-0.8
Edwin Ubiles,WAS,4,7.3,-0.026,0.0
Ekpe Udoh,TOT,61,12.5,.077,0.2
Ekpe Udoh,GSW,38,11.5,.054,0.0
Ekpe Udoh,MIL,23,14.3,.119,0.2
Beno Udrih,MIL,59,13.1,.061,0.0
Ben Uzoh,TOT,18,10.9,.032,0.1
Ben Uzoh,CLE,2,21.0,.161,0.0
Ben Uzoh,TOR,16,10.5,.027,0.1
Anderson Varejão,CLE,25,18.9,.131,0.6
Greivis Vásquez,NOH,66,14.2,.064,0.4
Jan Veselý,WAS,57,11.5,.076,-0.2
Charlie Villanueva,DET,13,16.2,.096,0.1
Nikola Vučević,PHI,51,14.3,.109,0.0
Dwyane Wade,MIA,49,26.3,.227,4.0
Von Wafer,ORL,33,11.4,.042,-0.1
Henry Walker,NYK,32,8.2,.067,0.0
Kemba Walker,CHA,66,14.9,.009,0.6
John Wall,WAS,66,17.7,.071,1.6
Ben Wallace*,DET,62,10.7,.070,0.7
Gerald Wallace,TOT,58,15.9,.112,1.6
Gerald Wallace,POR,42,15.5,.111,1.1
Gerald Wallace,NJN,16,17.2,.113,0.5
Luke Walton,TOT,30,3.4,-0.050,-0.5
Luke Walton,LAL,9,8.9,.072,0.0
Luke Walton,CLE,21,2.2,-0.076,-0.5
Hakim Warrick,PHO,35,13.1,.050,-0.1
Darryl Watkins,NOH,5,10.8,.056,0.0
C.J. Watson,CHI,49,13.3,.109,0.5
Earl Watson,UTA,50,9.5,.018,0.2
Martell Webster,MIN,47,10.0,.064,0.1
David West,IND,66,17.8,.147,1.8
Delonte West,DAL,44,15.3,.098,0.8
Russell Westbrook,OKC,66,22.9,.163,3.0
D.J. White,CHA,58,12.4,.034,-0.5
Hassan Whiteside,SAC,18,16.2,.073,0.0
Chris Wilcox,BOS,28,12.4,.132,0.0
Damien Wilkins,DET,60,6.9,.019,-0.5
Deron Williams,NJN,55,20.3,.099,2.2
Derrick Williams,MIN,66,12.9,.059,0.0
Elliot Williams,POR,24,18.8,.105,0.1
Jordan Williams,NJN,43,14.5,.101,0.0
Lou Williams,PHI,64,20.2,.174,2.5
Marvin Williams,ATL,57,15.8,.156,1.2
Mo Williams,LAC,52,15.0,.093,0.8
Reggie Williams,CHA,33,12.4,.022,-0.1
Sean Williams,TOT,11,18.7,.199,0.1
Sean Williams,DAL,8,18.8,.182,0.0
Sean Williams,BOS,3,18.6,.226,0.1
Shawne Williams,NJN,25,4.9,-0.041,-0.6
